index,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
532,Hypocrite! @HillaryClinton claims she needs a “public and a private stance” in discussions with Wall Street banks. #Debate,FALSE,19177,NA,10/10/2016 1:50,FALSE,NA,7.85296E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,7609,FALSE,FALSE,NA,NA
533,I hope when the MSM runs its “interruption counters” they consider the # of times the moderators interrupted me com… https://t.co/pHEjp8bZVP,FALSE,33170,NA,10/10/2016 1:49,TRUE,NA,7.85296E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,11244,FALSE,FALSE,NA,NA
534,.@HillaryClinton - ITS CALLED EXTREME VETTING! #Debates2016 https://t.co/ueq7cbOg9Y,FALSE,14274,NA,10/10/2016 1:48,FALSE,NA,7.85296E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7168,FALSE,FALSE,NA,NA
535,".@HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE FIGHT.""
@Mike_Pence #MAGA https://t.co/FUQzXlyPwY",FALSE,18032,NA,10/10/2016 1:45,FALSE,NA,7.85295E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,7426,FALSE,FALSE,NA,NA
536,"#CrookedHillary has FAILED all over the world! <ed><U+00AF><U+00BF><ed><U+00B0><U+0080> 
#BigLeagueTruth #Debates2016 https://t.co/dalk9JKcFg",FALSE,15594,NA,10/10/2016 1:43,FALSE,NA,7.85295E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,7174,FALSE,FALSE,NA,NA
537,".@HillaryClinton is NOT above the law!
#Debates2016 https://t.co/4arYZcGgYZ",FALSE,49464,NA,10/10/2016 1:37,FALSE,NA,7.85293E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,27443,FALSE,FALSE,NA,NA
538,.@HillaryClinton : Bill “clarified” what he meant when calling Obamacare a “disaster.” Actually “disaster” is pretty clear. #Debate,FALSE,18966,NA,10/10/2016 1:36,FALSE,NA,7.85293E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,6910,FALSE,FALSE,NA,NA
539,"We must repeal Obamacare and replace it with a much more competitive, comprehensive, affordable system. #debate #MAGA",FALSE,20754,NA,10/10/2016 1:35,FALSE,NA,7.85293E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,6986,FALSE,FALSE,NA,NA
540,Obama and Clinton told the same lie to sell #ObamaCare. #Debates2016 https://t.co/vhOLtHrR66,FALSE,16579,NA,10/10/2016 1:32,FALSE,NA,7.85292E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,9068,FALSE,FALSE,NA,NA
541,ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,FALSE,35699,NA,10/10/2016 1:29,FALSE,NA,7.85291E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15182,FALSE,FALSE,NA,NA
